Study Name,Authors,Year,DOI/URL,Dataset,Study Description,Paradigm Type,Stimulus Type,Stimulus Description,Composer,Passage Name,Passage Length,Musical Features Analyzed,Task Description,Number of Participants,Demographics,Musical Training,EEG System Used,Channel Count,Findings,Sampling Rate,Recording Environment,Data Format,Preprocessing,License,EEG Analysis Techniques,Statistical Tests,Event Markers,Publication
Effect of Music and Biofeedback on Alpha Brainwave Rhythms and Attentiveness,Michael Wagner,1975,https://doi.org/10.2307/3345198,NA,This study investigates alpha rhythm production in musicians vs. nonmusicians during passive listening to two musical excerpts (slow and brisk tempo) and silence.,Controlled,Musical Excerpt,"Slow tempo, orchestral",Camille Saint-Saëns,"Saint-Saëns: Symphony No. 3 in C Minor, Op. 78 (2nd Movement)",2 minutes,"Tempo, Pulse, Cortical Activation (Alpha Rhythms), Attentiveness",EEG-monitored passive listening with and without alpha biofeedback; subjects rated attentiveness after each excerpt,60,Undergraduate students from Florida State University; musicians and nonmusicians,Mixed Groups,"Aquarius Electronics ""Alphaphone Brainwave Analyzer""","19 channels, 10–20 system","Musicians produced significantly more alpha than nonmusicians; no significant difference between musical stimuli or feedback condition; attentiveness ratings were higher for music than silence, but alpha rhythm did not correlate with attentiveness reports",Not Reported,Sound-treated room at FSU School of Music,Not Reported,Manual alpha duration timing using EEG-linked timer; no digital preprocessing reported,"Copyright by the Journal of Research in Music Education (MENC), 1975",Manual timing of alpha rhythm duration using EEG-linked digital timer,Repeated-measures ANOVA,Math problems used to block alpha before each aural condition,Journal of Research in Music Education 23(1) 3-13
Effect of Music and Biofeedback on Alpha Brainwave Rhythms and Attentiveness,Michael Wagner,1975,https://doi.org/10.2307/3345198,NA,This study investigates alpha rhythm production in musicians vs. nonmusicians during passive listening to two musical excerpts (slow and brisk tempo) and silence.,Controlled,Musical Excerpt,"Brisk tempo, rhythmic contrast",Jules Massenet,Massenet: Le Cid (“Castillane” movement),3 minutes,"Tempo, Pulse, Cortical Activation (Alpha Rhythms), Attentiveness",EEG-monitored passive listening with and without alpha biofeedback; subjects rated attentiveness after each excerpt,60,Undergraduate students from Florida State University; musicians and nonmusicians,Mixed Groups,"Aquarius Electronics ""Alphaphone Brainwave Analyzer""","19 channels, 10–20 system","Musicians produced significantly more alpha than nonmusicians; no significant difference between musical stimuli or feedback condition; attentiveness ratings were higher for music than silence, but alpha rhythm did not correlate with attentiveness reports",Not Reported,Sound-treated room at FSU School of Music,Not Reported,Manual alpha duration timing using EEG-linked timer; no digital preprocessing reported,"Copyright by the Journal of Research in Music Education (MENC), 1976",Manual timing of alpha rhythm duration using EEG-linked digital timer,Repeated-measures ANOVA,Math problems used to block alpha before each aural condition,Journal of Research in Music Education 23(1) 3-14
Subjective Reactions to Music and Brainwave Rhythms,James Walker,1977,https://doi.org/10.3758/BF03337859,NA,"This study investigates EEG during passive listening to orchestral and rock music; subjects rated emotion, attention, familiarity.",Controlled,Musical Excerpt,"Harp and strings, orchestral",Gustav Mahler ,"Symphony No. 5, 4th Movement (Adagietto)",1.63 minutes,"EEG bandwidths (delta, theta, alpha, beta); attentiveness, emotion, familiarity)","Passive listening with eyes closed; EEG recorded at occipital sites; subjects completed visual analog scales for attentiveness, emotion, and familiarity after each excerpt",24,Undergraduate students (Brandon University),Mixed Groups,Grass Model 79C polygraph,"19 channels, 10–20 system",Alpha and beta power linked to comfort and attention; nonmusicians showed stronger EEG-emotion correlations.,Not Reported,Sound-treated room,Not Reported,Impedance check (<5 kΩ); bipolar montage with Cz reference; manual scoring of 15-second segments,Copyright by Physiological Psychology (1977),Band power (alpha theta delta),"Pearson correlation, t-tests, sign test",Stimulus onset; music vs. silence,Psychobiology 5(4) 345-349
Subjective Reactions to Music and Brainwave Rhythms,James Walker,1977,https://doi.org/10.3758/BF03337859,NA,"This study investigates EEG during passive listening to orchestral and rock music; subjects rated emotion, attention, familiarity.",Controlled,Musical Excerpt,"Electric guitars, drums",Uriah Heap,Gypsy (Instrumental Interlude),1.75 minutes,"EEG bandwidths (delta, theta, alpha, beta); attentiveness, emotion, familiarity)","Passive listening with eyes closed; EEG recorded at occipital sites; subjects completed visual analog scales for attentiveness, emotion, and familiarity after each excerpt",24,Undergraduate students (Brandon University),Mixed Groups,Grass Model 79C polygraph,"19 channels, 10–20 system",EEG-emotion links were weaker; delta power associated with attention; theta linked to unpleasantness.,Not Reported,Sound-treated room,Not Reported,Impedance check (<5 kΩ); bipolar montage with Cz reference; manual scoring of 15-second segments,Copyright by Physiological Psychology (1977),Band power (alpha theta delta),"Pearson correlation, t-tests, sign test",Stimulus onset; music vs. silence,Psychobiology 5(4) 345-350
The EEG: An Adequate Method to Concretize Brain Processes Elicited by Music,"H. Petsche, K. Lindner, P. Rappelsberger, G. Gruber",1988,https://doi.org/10.2307/40285422,NA,"This study investigates whether music processing by the brain can be reflected in ongoing EEG, examining parameters like location, power, frequency, and coherence to identify significant changes in brain electrical activity when listening to various musical stimuli.",Controlled,Musical Excerpt,First movement of Mozart string quartet KV 458,Mozart,String quartet KV 458 (first movement),1 minute,"Brain electrical activity parameters (power, coherence) in different frequency bands (theta, alpha, beta)",Binaural listening to music with eyes closed,75,"Healthy students 52 with musical training, 23 without (40 males, mean age 24.6±6.3 years; 35 females, mean age 22.7±3.7 years)",Mixed Groups,Not specified,19 electrodes (10/20-system),"Listening to Mozart caused strong alpha and theta power reductions, especially in the left hemisphere. Musically trained subjects showed broader alpha blocking and stronger interhemispheric beta 2 coherence, while untrained listeners had more limited effects. In groups split by sex, females showed more extensive interhemispheric coherence (especially beta 1–2) and alpha blocking than males, and trained females drove most of the coherence increases between posterior regions.",256 Hz,Not specified,Digitized analog recordings,Artifact removal by visual inspection; Fourier transformation of 2-sec epochs; averaging of power and cross-power spectra,Copyright by 1996 Elsevier Science B.V.,Spectral analysis; broad band parameter extraction for five frequency bands; Fisher permutation test,Fisher permutation test,Not specified,"Music Perception: An Interdisciplinary Journal, Winter 1988, Vol. 6, No. 2 (Winter, 1988), pp. 133-159"
The EEG: An Adequate Method to Concretize Brain Processes Elicited by Music,"H. Petsche, K. Lindner, P. Rappelsberger, G. Gruber",1988,https://doi.org/10.2307/40285422,NA,"This study investigates whether music processing by the brain can be reflected in ongoing EEG, examining parameters like location, power, frequency, and coherence to identify significant changes in brain electrical activity when listening to various musical stimuli.",Controlled,Spoken Text,Recital of the fate of the sons of J.S. Bach taken from Geiringer's biography,NA,Bach biography excerpt,1 minute,"Brain electrical activity parameters (power, coherence) in different frequency bands (theta, alpha, beta)",Binaural listening with eyes closed,39,"17 females, 22 males",Mixed Groups,Not specified,19 electrodes (10/20-system),"Listening to spoken text caused localized alpha and theta power decreases in the left midtemporal area and beta 1 power increases in the right frontal region. Unlike music, it reduced interhemispheric coherence in posterior areas. Females showed stronger alpha reduction than males.",256 Hz,Not specified,Digitized analog recordings,Artifact removal by visual inspection; Fourier transformation of 2-sec epochs; averaging of power and cross-power spectra,Copyright by 1996 Elsevier Science B.V.,Spectral analysis; broad band parameter extraction for five frequency bands; Fisher permutation test,Fisher permutation test,Not specified,"Music Perception: An Interdisciplinary Journal, Winter 1988, Vol. 6, No. 2 (Winter, 1988), pp. 133-159"
The EEG: An Adequate Method to Concretize Brain Processes Elicited by Music,"H. Petsche, K. Lindner, P. Rappelsberger, G. Gruber",1988,https://doi.org/10.2307/40285422,NA,"This study investigates whether music processing by the brain can be reflected in ongoing EEG, examining parameters like location, power, frequency, and coherence to identify significant changes in brain electrical activity when listening to various musical stimuli.",Controlled,Percussion,"African Jungle Drums, from a record (Primitive Percussion—African Jungle Drums, POP Series R 6001)",Not specified,African Jungle Drums,1 minute,"Brain electrical activity parameters (power, coherence) in different frequency bands (theta, alpha, beta)",Binaural listening with eyes closed,8,"6 males, 2 females",Mixed Groups,Not specified,19 electrodes (10/20-system),Drumming caused alpha power decrease in left midtemporal and central regions and increased theta coherence locally and interhemispherically. Strong motor responses (tapping) likely confounded some EEG changes. No group comparisons were made due to the small sample size.,256 Hz,Not specified,Digitized analog recordings,Artifact removal by visual inspection; Fourier transformation of 2-sec epochs; averaging of power and cross-power spectra,Copyright by 1996 Elsevier Science B.V.,Spectral analysis; broad band parameter extraction for five frequency bands; Fisher permutation test,Fisher permutation test,Not specified,"Music Perception: An Interdisciplinary Journal, Winter 1988, Vol. 6, No. 2 (Winter, 1988), pp. 133-159"
The EEG: An Adequate Method to Concretize Brain Processes Elicited by Music,"H. Petsche, K. Lindner, P. Rappelsberger, G. Gruber",1988,https://doi.org/10.2307/40285422,NA,"This study investigates whether music processing by the brain can be reflected in ongoing EEG, examining parameters like location, power, frequency, and coherence to identify significant changes in brain electrical activity when listening to various musical stimuli.",Controlled,Humming,Voiceless humming of a children's song of participant's choice,Participant's choice,Children's song (participant's choice),1 minute,"Brain electrical activity parameters (power, coherence) in different frequency bands (theta, alpha, beta)",Humming as voicelessly as possible,11,"8 males, 3 females",Mixed Groups,Not specified,19 electrodes (10/20-system),"Humming reduced alpha power in bilateral temporal regions and theta power along the midline, with a large beta 3 power increase linked to motor control. Local beta 3 coherence rose in left hemisphere areas. Interhemispheric coupling increased between frontobasal and parietal regions.",256 Hz,Not specified,Digitized analog recordings,Artifact removal by visual inspection; Fourier transformation of 2-sec epochs; averaging of power and cross-power spectra,Copyright by 1996 Elsevier Science B.V.,Spectral analysis; broad band parameter extraction for five frequency bands; Fisher permutation test,Fisher permutation test,Not specified,"Music Perception: An Interdisciplinary Journal, Winter 1988, Vol. 6, No. 2 (Winter, 1988), pp. 133-159"
The EEG: An Adequate Method to Concretize Brain Processes Elicited by Music,"H. Petsche, K. Lindner, P. Rappelsberger, G. Gruber",1988,https://doi.org/10.2307/40285422,NA,"This study investigates whether music processing by the brain can be reflected in ongoing EEG, examining parameters like location, power, frequency, and coherence to identify significant changes in brain electrical activity when listening to various musical stimuli.",Controlled,Musical Excerpt,German children's song 'Fuchs du hast die Gans gestohlen' played as a single melody on piano,Traditional German children's song,Fuchs du hast die Gans gestohlen,1 minute,"Brain electrical activity parameters (power, coherence) in different frequency bands (theta, alpha, beta)",Binaural listening with eyes closed,19,"9 males, 10 females (music students)",Moderate Training (5-10 years),Not specified,19 electrodes (10/20-system),"Listening to the children's melody caused alpha power reduction mainly in the left temporal and frontal areas, with more extensive local and interhemispheric coherence changes than during Mozart. Repeated presentations showed decreasing EEG changes, suggesting habituation.",256 Hz,Not specified,Digitized analog recordings,Artifact removal by visual inspection; Fourier transformation of 2-sec epochs; averaging of power and cross-power spectra,Copyright by 1996 Elsevier Science B.V.,Spectral analysis; broad band parameter extraction for five frequency bands; Fisher permutation test,Fisher permutation test,Not specified,"Music Perception: An Interdisciplinary Journal, Winter 1988, Vol. 6, No. 2 (Winter, 1988), pp. 133-159"
EEG in Music Psychological Studies,"Helmuth Petsche, K. Lindner, P. Rappelsberger, G. Gruber",1993,https://doi.org/10.1007/978-3-642-79327-1_21,NA,EEG coherence and power were measured while listening to short synthesized tones.,Controlled,Synthesized Music/Tone,Synthesized piano timbre (Yamaha TX7),NA,NA,~30 seconds,"Melodic structure, harmonic context",Passive listening during interictal period; EEG recorded via depth and surface electrodes,2,"Adult males, 31 & 35 years, European",No Formal Training,Depth electrodes + surface EEG (Hess system),"19 channels, 10–20 system","Coherence increased across hemispheres in task-specific patterns, especially in beta bands; music showed unique lateralization vs. verbal tasks.",256 Hz,Hospital neurology lab,Digital EEG (.edf format equivalent),Artifact rejection; visual inspection; FFT windowing (256 samples),"Copyright by Springer, 1988","Coherence analysis, Spectral participation vectors, Band power (delta, theta, alpha, beta)","Coherence computation, frequency quotients",Stimulus onset; synthesized tone presentation,Music Perception 6(1): 79–98
